country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Morocco,,,,,,,,,,,,,,24.2,,25.1,,,,,,,14.4,,,,,,,,
Mozambique,,,,,,,,,,,,71.3,,,,,,55.3,,,,,,56.9,,,,,,,
Namibia,,,,,,,,,81.6,,,,,,,,,,48.7,,,,,,37.4,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,70.3,,,,63.3,,,,,50.1,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,,,,
Nigeria,,,,,,,,,,,,,,,,,,,56.6,,,,,,52.8,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,19.4,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,41.6,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,83.4,82.5,79.3,74,68.8,66.7,61,56.1,53,48,46,
Rwanda,,,,,,,,,,,,,,,,,,,,,61.9,,,,,48.7,,,,,
Senegal,,,,,,,,,,,,,,,,65.1,,,,,58.8,,,,,57.1,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,78.7,,,,,,,,66.1,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,87.6,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,55.4,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,24.7,,,,15.7,,,9.4,,,7.6,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,,,,,
Swaziland,,,,,,,,,,,,,,,,79.7,,,,,,,,,73.1,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,31.8,,,36.9,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,36.1,35.2
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,
Thailand,,,,,,,,,,,,,,,,51.4,,40.2,,33.6,,28.3,25.9,27.3,23.6,22.4,16.7,16,13.9,,
Timor-Leste,,,,,,,,,,,,,,,,,39.7,,,,,,54.7,,,,,,,47.1,
Togo,,,,,,,,,,,,,,,,,,,,,,75.1,,,,,73.4,,,,68.7
Turkey,,,,,,,,,,,,,,,,,,38.8,32.2,32.6,26.6,25.4,17.6,15.3,11.9,9.6,6.8,5.9,5.1,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,
Uganda,,,,,,,,60.3,,,,48.7,,,37.4,,,42.7,,,34.2,,,,27.2,,,22.4,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,20.7,16.4,11.5,9.1,6.1,6,4.1,3,3,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,,22.1,,18.6,
Yemen,,,,,,,,,,,,,,,,,,,,,40.1,,,,,,,,,,
