Country,Year,cervical_cancer_number_of_new_female_cases,co2_intensity_of_economic_output_kg_co2_per_2011_ppp_of_gdp,cumulative_co2_emissions_tonnes,liver_cancer_number_of_new_male_cases,flood_affected_annual_number,food_supply_kilocalories_per_person_and_day,literacy_rate_adult_total_percent_of_people_ages_15_and_above,literacy_rate_youth_total_percent_of_people_ages_15_24
Tajikistan,2003,137.0,0.209,283000000.0,122.0,1760,1960.0,,
Tajikistan,2004,136.0,0.234,285000000.0,124.0,400000,1980.0,,
Tajikistan,2005,135.0,0.209,288000000.0,127.0,5120,2060.0,,
Tajikistan,2006,140.0,0.212,291000000.0,130.0,0,2060.0,,
Tajikistan,2007,144.0,0.24,294000000.0,132.0,17300,2060.0,,
Tajikistan,2008,148.0,0.199,297000000.0,135.0,0,2080.0,,
Tanzania,1990,3050.0,0.0622,65700000.0,419.0,163000,2190.0,,
Tanzania,1991,3120.0,0.0645,68100000.0,428.0,0,2230.0,,
Tanzania,1992,3250.0,0.0621,70500000.0,439.0,0,2150.0,,
Tanzania,1993,3360.0,0.0685,73100000.0,450.0,202000,2100.0,,
Tanzania,1994,3520.0,0.0625,75500000.0,461.0,7030,2080.0,,
Tanzania,1995,3650.0,0.0892,79000000.0,473.0,21900,2030.0,,
Tanzania,1996,3720.0,0.0831,82500000.0,480.0,0,2040.0,,
Tanzania,1997,3810.0,0.0668,85400000.0,488.0,10200,2000.0,,
Tanzania,1998,3910.0,0.0571,87900000.0,495.0,4660,2080.0,,
Tanzania,1999,3970.0,0.0541,90500000.0,503.0,0,2060.0,,
Tanzania,2000,3990.0,0.0539,93100000.0,512.0,1850,2010.0,,
Tanzania,2001,3960.0,0.06,96200000.0,528.0,205,2030.0,,
Tanzania,2002,3940.0,0.0642,99800000.0,545.0,1210,2110.0,69.4,78.4
Tanzania,2003,4020.0,0.0637,104000000.0,564.0,2000,1980.0,,
Tanzania,2004,4060.0,0.0678,108000000.0,583.0,0,2100.0,,
Tanzania,2005,4130.0,0.079,113000000.0,603.0,10600,2130.0,,
Tanzania,2006,4160.0,0.0827,120000000.0,620.0,21500,2140.0,,
Tanzania,2007,4250.0,0.0746,125000000.0,637.0,0,2220.0,,
Tanzania,2008,4340.0,0.0736,132000000.0,656.0,9530,2130.0,,
Thailand,1990,5790.0,0.241,967000000.0,5670.0,0,2180.0,,
Thailand,1991,5970.0,0.244,1070000000.0,5930.0,16600,2260.0,,
Thailand,1992,6180.0,0.249,1180000000.0,6190.0,0,2270.0,,
Thailand,1993,6410.0,0.261,1300000000.0,6470.0,889000,2270.0,,
Thailand,1994,6670.0,0.27,1440000000.0,6770.0,171000,2360.0,,
Thailand,1995,6940.0,0.289,1600000000.0,7090.0,4280000,2420.0,,
Thailand,1996,7230.0,0.306,1780000000.0,7410.0,5000000,2560.0,,
Thailand,1997,7580.0,0.324,1970000000.0,7760.0,14,2540.0,,
Thailand,1998,7990.0,0.31,2130000000.0,8150.0,0,2600.0,,
Thailand,1999,8270.0,0.318,2310000000.0,8570.0,284000,2560.0,,
Thailand,2000,8460.0,0.313,2490000000.0,9020.0,3310000,2600.0,92.7,98.0
Thailand,2001,8480.0,0.325,2680000000.0,9390.0,471000,2580.0,,
Thailand,2002,8460.0,0.328,2890000000.0,9780.0,3290000,2630.0,,
Thailand,2003,8410.0,0.33,3120000000.0,10200.0,108000,2640.0,,
Thailand,2004,8260.0,0.336,3360000000.0,10600.0,507000,2650.0,,
Thailand,2005,8200.0,0.328,3610000000.0,11100.0,819000,2720.0,93.5,98.0
Thailand,2006,8200.0,0.318,3860000000.0,11400.0,2560000,2800.0,,
Thailand,2007,8130.0,0.302,4110000000.0,11800.0,183000,2770.0,,
Thailand,2008,8030.0,0.297,4370000000.0,12200.0,1540000,2760.0,,
Timor-Leste,1990,60.2,,,7.57,0,1820.0,,
Timor-Leste,1991,61.9,,,8.08,0,1930.0,,
Timor-Leste,1992,63.5,,,8.62,0,1990.0,,
Timor-Leste,1993,64.8,,,9.17,0,2030.0,,
Timor-Leste,1994,65.6,,,9.7,0,2010.0,,
Timor-Leste,1995,66.5,,,10.2,0,2030.0,,
Timor-Leste,1996,64.8,,,10.4,0,1890.0,,
Timor-Leste,1997,63.0,,,10.5,0,1920.0,,
Timor-Leste,1998,60.9,,,10.5,0,1800.0,,
Timor-Leste,1999,58.7,,,10.6,0,1830.0,,
Timor-Leste,2000,56.9,,,10.7,0,1870.0,,
Timor-Leste,2001,56.5,,,11.0,2510,1940.0,37.6,
Timor-Leste,2002,57.1,0.055,161000.0,11.4,0,2060.0,,
Timor-Leste,2003,59.4,0.0557,323000.0,12.0,1050,2060.0,,
Timor-Leste,2004,59.4,0.037000000000000005,499000.0,12.5,0,2040.0,,
Timor-Leste,2005,59.0,0.0272,675000.0,13.1,0,2030.0,,
Timor-Leste,2006,59.2,0.0196,854000.0,14.3,0,2040.0,,
Timor-Leste,2007,60.8,0.0191,1040000.0,15.4,948,2050.0,50.6,
Timor-Leste,2008,62.1,0.0191,1240000.0,16.6,0,2060.0,,
Togo,1990,301.0,0.151,14100000.0,226.0,0,2090.0,,
Togo,1991,309.0,0.166,14900000.0,232.0,0,1930.0,,
Togo,1992,315.0,0.172,15800000.0,237.0,0,1900.0,,
Togo,1993,322.0,0.209,16600000.0,242.0,0,1960.0,,
Togo,1994,332.0,0.175,17500000.0,248.0,11500,2040.0,,
Togo,1995,338.0,0.18600000000000005,18400000.0,254.0,185000,2050.0,,
Togo,1996,347.0,0.19,19500000.0,255.0,0,2110.0,,
Togo,1997,365.0,0.154,20500000.0,256.0,0,2150.0,,
Togo,1998,378.0,0.187,21600000.0,258.0,30400,2120.0,,
Togo,1999,384.0,0.24,23200000.0,261.0,65000,2150.0,,
Togo,2000,396.0,0.214,24500000.0,264.0,0,2170.0,53.2,74.4
Togo,2001,405.0,0.18600000000000005,25700000.0,263.0,0,2160.0,,
Togo,2002,418.0,0.199,26900000.0,263.0,0,2160.0,,
Togo,2003,432.0,0.225,28400000.0,263.0,0,2200.0,,
Togo,2004,434.0,0.211,29800000.0,263.0,0,2250.0,,
Togo,2005,449.0,0.2,31100000.0,264.0,0,2240.0,,
Togo,2006,456.0,0.175,32300000.0,268.0,2000,2280.0,56.9,76.5
Togo,2007,478.0,0.197,33700000.0,272.0,141000,2300.0,,
Togo,2008,491.0,0.231,35400000.0,276.0,44800,2320.0,,
Trinidad and Tobago,1990,153.0,1.14,569000000.0,30.3,0,2630.0,96.9,99.3
Trinidad and Tobago,1991,153.0,1.11,586000000.0,29.9,0,2670.0,,
Trinidad and Tobago,1992,160.0,1.27,605000000.0,29.4,0,2570.0,,
Trinidad and Tobago,1993,166.0,1.21,623000000.0,28.9,15,2550.0,,
Trinidad and Tobago,1994,163.0,1.13,641000000.0,28.5,0,2550.0,,
Trinidad and Tobago,1995,169.0,1.05,658000000.0,28.2,0,2600.0,,
Trinidad and Tobago,1996,172.0,1.19,678000000.0,25.9,200,2640.0,,
Trinidad and Tobago,1997,178.0,0.988,697000000.0,23.9,0,2620.0,,
Trinidad and Tobago,1998,176.0,0.95,716000000.0,22.1,0,2660.0,,
Trinidad and Tobago,1999,177.0,1.04,738000000.0,20.4,0,2670.0,,
Trinidad and Tobago,2000,172.0,1.03,762000000.0,18.9,0,2780.0,,
Trinidad and Tobago,2001,168.0,1.09,788000000.0,18.5,0,2830.0,,
Trinidad and Tobago,2002,166.0,1.1,817000000.0,18.2,0,2790.0,,
Trinidad and Tobago,2003,167.0,1.07,849000000.0,17.9,0,2750.0,,
Trinidad and Tobago,2004,165.0,1.04,882000000.0,17.6,0,2780.0,98.4,99.5
Trinidad and Tobago,2005,170.0,1.11,921000000.0,17.4,0,2760.0,,
Trinidad and Tobago,2006,170.0,1.1,963000000.0,18.3,0,2800.0,,
Trinidad and Tobago,2007,173.0,1.12,1010000000.0,19.3,0,2850.0,,
Trinidad and Tobago,2008,175.0,1.06,1050000000.0,20.4,0,2830.0,,
Tunisia,1990,222.0,0.287,226000000.0,60.0,152000,3150.0,,
Tunisia,1991,226.0,0.322,241000000.0,62.4,0,3110.0,,
Tunisia,1992,231.0,0.29,256000000.0,65.2,0,3140.0,,
Tunisia,1993,237.0,0.312,273000000.0,68.2,0,3170.0,,
Tunisia,1994,241.0,0.292,289000000.0,71.5,0,3110.0,59.2,82.8
Tunisia,1995,245.0,0.282,304000000.0,75.1,0,3130.0,,
Tunisia,1996,247.0,0.28,321000000.0,77.7,0,3200.0,,
Tunisia,1997,249.0,0.268,338000000.0,80.4,0,3250.0,,
Tunisia,1998,252.0,0.272,356000000.0,83.2,0,3300.0,,
Tunisia,1999,254.0,0.261,374000000.0,85.9,0,3370.0,,
Tunisia,2000,259.0,0.271,394000000.0,88.6,0,3250.0,,
Tunisia,2001,253.0,0.273,415000000.0,89.8,0,3260.0,,
Tunisia,2002,249.0,0.27,436000000.0,91.0,0,3190.0,,
Tunisia,2003,245.0,0.263,457000000.0,92.5,27000,3240.0,,
Tunisia,2004,242.0,0.259,480000000.0,94.2,0,3250.0,74.3,94.3
Tunisia,2005,248.0,0.255,502000000.0,96.3,0,3220.0,,
Tunisia,2006,252.0,0.246,525000000.0,98.4,0,3270.0,,
Tunisia,2007,256.0,0.241,549000000.0,101.0,6520,3250.0,77.2,96.3
Tunisia,2008,260.0,0.238,574000000.0,103.0,0,3300.0,77.6,96.8
Turkey,1990,1560.0,0.237,2410000000.0,944.0,4570,3780.0,79.2,92.5
Turkey,1991,1620.0,0.24,2560000000.0,964.0,542,3720.0,,
Turkey,1992,1610.0,0.235,2720000000.0,985.0,0,3710.0,,
Turkey,1993,1660.0,0.227,2870000000.0,1010.0,0,3730.0,,
Turkey,1994,1670.0,0.235,3030000000.0,1040.0,0,3730.0,,
Turkey,1995,1710.0,0.239,3200000000.0,1070.0,307000,3720.0,,
Turkey,1996,1680.0,0.243,3390000000.0,1090.0,0,3690.0,,
Turkey,1997,1670.0,0.239,3590000000.0,1110.0,0,3600.0,,
Turkey,1998,1650.0,0.236,3790000000.0,1140.0,1240000,3660.0,,
Turkey,1999,1730.0,0.239,3990000000.0,1170.0,0,3620.0,,
Turkey,2000,1570.0,0.247,4200000000.0,1190.0,1000,3660.0,,
Turkey,2001,1510.0,0.236,4400000000.0,1220.0,2530,3620.0,,
Turkey,2002,1490.0,0.234,4600000000.0,1250.0,3030,3610.0,,
Turkey,2003,1550.0,0.236,4820000000.0,1280.0,8,3590.0,,
Turkey,2004,1480.0,0.222,5050000000.0,1310.0,50100,3610.0,87.4,95.6
Turkey,2005,1490.0,0.214,5280000000.0,1340.0,3010,3610.0,88.2,96.1
Turkey,2006,1460.0,0.221,5550000000.0,1380.0,63100,3650.0,88.1,96.2
Turkey,2007,1380.0,0.228,5830000000.0,1410.0,3200,3630.0,88.7,96.4
Turkey,2008,1340.0,0.226,6120000000.0,1440.0,0,3600.0,,
Turkmenistan,1990,174.0,,1080000000.0,55.0,0,,,
Turkmenistan,1991,170.0,,1120000000.0,56.3,0,,,
Turkmenistan,1992,175.0,1.33,1150000000.0,57.9,0,2560.0,,
Turkmenistan,1993,173.0,1.12,1180000000.0,59.5,420,2580.0,,
Turkmenistan,1994,179.0,1.61,1210000000.0,61.3,0,2550.0,,
Turkmenistan,1995,176.0,1.76,1240000000.0,63.3,0,2540.0,98.8,99.8
Turkmenistan,1996,192.0,1.48,1280000000.0,65.3,0,2510.0,,
Turkmenistan,1997,206.0,1.67,1310000000.0,67.6,0,2540.0,,
Turkmenistan,1998,198.0,1.64,1340000000.0,69.8,0,2560.0,,
Turkmenistan,1999,222.0,1.65,1380000000.0,72.0,0,2600.0,,
Turkmenistan,2000,236.0,1.56,1410000000.0,74.1,0,2610.0,,
Turkmenistan,2001,248.0,1.52,1450000000.0,76.6,0,2620.0,,
Turkmenistan,2002,267.0,1.59,1490000000.0,79.0,0,2680.0,,
Turkmenistan,2003,277.0,1.71,1540000000.0,81.4,0,2740.0,,
Turkmenistan,2004,299.0,1.7,1580000000.0,84.0,0,2810.0,,
Turkmenistan,2005,313.0,1.57,1630000000.0,87.1,0,2830.0,,
Turkmenistan,2006,334.0,1.44,1680000000.0,91.3,0,2840.0,,
Turkmenistan,2007,349.0,1.47,1740000000.0,96.2,0,2900.0,,
Turkmenistan,2008,366.0,1.3,1790000000.0,102.0,0,2870.0,,
Uganda,1990,2310.0,0.0566,27200000.0,389.0,0,2330.0,,
Uganda,1991,2380.0,0.0551,28000000.0,397.0,0,2270.0,56.1,69.8
Uganda,1992,2400.0,0.0538,28800000.0,405.0,0,2220.0,,
Uganda,1993,2510.0,0.0492,29600000.0,413.0,0,2240.0,,
Uganda,1994,2680.0,0.0419,30300000.0,421.0,0,2230.0,,
Uganda,1995,2760.0,0.0499,31200000.0,430.0,0,2240.0,,
Uganda,1996,2670.0,0.0516,32300000.0,428.0,0,2130.0,,
Uganda,1997,2690.0,0.0513,33400000.0,426.0,154000,2160.0,,
Uganda,1998,2730.0,0.0559,34600000.0,424.0,15200,2270.0,,
Uganda,1999,2790.0,0.0537,36000000.0,423.0,0,2250.0,,
Uganda,2000,2940.0,0.0567,37400000.0,423.0,0,2270.0,,
Uganda,2001,2990.0,0.0569,38900000.0,446.0,801,2280.0,,
Uganda,2002,3080.0,0.054000000000000006,40500000.0,471.0,877,2330.0,68.1,80.8
Uganda,2003,3160.0,0.052000000000000005,42100000.0,499.0,2230,2380.0,,
Uganda,2004,3270.0,0.053,43800000.0,528.0,30000,2350.0,,
Uganda,2005,3400.0,0.0622,46000000.0,560.0,0,2330.0,,
Uganda,2006,3510.0,0.0656,48500000.0,575.0,5680,2280.0,71.4,84.1
Uganda,2007,3560.0,0.0689,51400000.0,592.0,721000,2210.0,,
Uganda,2008,3540.0,0.07,54600000.0,611.0,30100,2180.0,,
Ukraine,1990,7050.0,,20600000000.0,1080.0,0,,,
Ukraine,1991,7270.0,,21300000000.0,1090.0,0,,,
Ukraine,1992,7450.0,1.4,21900000000.0,1100.0,0,3370.0,,
Ukraine,1993,7670.0,1.4,22500000000.0,1110.0,325000,3240.0,,
Ukraine,1994,7800.0,1.49,22900000000.0,1110.0,0,2980.0,,
Ukraine,1995,7930.0,1.71,23400000000.0,1110.0,1700000,2880.0,,
Ukraine,1996,7560.0,1.76,23800000000.0,1090.0,10000,2800.0,,
Ukraine,1997,7070.0,1.5,24100000000.0,1080.0,0,2850.0,,
Ukraine,1998,6520.0,1.47,24400000000.0,1070.0,24600,2830.0,,
Ukraine,1999,6460.0,1.49,24800000000.0,1050.0,0,2780.0,,
Ukraine,2000,6330.0,1.36,25100000000.0,1040.0,0,2900.0,,
Ukraine,2001,6090.0,1.25,25400000000.0,1050.0,300000,2990.0,99.4,99.8
Ukraine,2002,6030.0,1.18,25700000000.0,1070.0,0,3050.0,,
Ukraine,2003,5980.0,1.19,26100000000.0,1080.0,600,3050.0,,
Ukraine,2004,6030.0,1.03,26400000000.0,1090.0,0,3190.0,,
Ukraine,2005,6220.0,0.978,26800000000.0,1100.0,8340,3210.0,,
Ukraine,2006,5950.0,0.8909999999999999,27100000000.0,1100.0,5000,3240.0,,
Ukraine,2007,6080.0,0.813,27400000000.0,1100.0,0,3250.0,,
Ukraine,2008,6020.0,0.769,27700000000.0,1100.0,225000,3300.0,,
Uruguay,1990,530.0,0.13,191000000.0,47.0,0,2530.0,,
Uruguay,1991,534.0,0.14400000000000002,196000000.0,48.0,1500,2700.0,,
Uruguay,1992,537.0,0.151,201000000.0,49.0,4700,2760.0,,
Uruguay,1993,542.0,0.127,205000000.0,50.1,0,2750.0,,
Uruguay,1994,545.0,0.108,209000000.0,51.3,0,2780.0,,
Uruguay,1995,552.0,0.124,214000000.0,52.7,0,2680.0,,
Uruguay,1996,563.0,0.139,220000000.0,53.3,0,2820.0,96.8,98.6
Uruguay,1997,582.0,0.131,225000000.0,54.0,0,2810.0,,
Uruguay,1998,591.0,0.128,231000000.0,54.7,9300,2820.0,,
Uruguay,1999,592.0,0.154,237000000.0,55.3,0,2830.0,,
Uruguay,2000,589.0,0.124,243000000.0,55.9,5000,2810.0,,
Uruguay,2001,596.0,0.124,248000000.0,57.6,5000,2870.0,,
Uruguay,2002,601.0,0.122,252000000.0,59.4,2500,2840.0,,
Uruguay,2003,602.0,0.12,257000000.0,61.2,200,2840.0,,
Uruguay,2004,592.0,0.14,263000000.0,63.1,0,2830.0,,
Uruguay,2005,589.0,0.134,268000000.0,65.3,0,2810.0,,
Uruguay,2006,589.0,0.14800000000000002,275000000.0,67.3,0,2820.0,97.8,98.7
Uruguay,2007,587.0,0.125,281000000.0,69.4,120000,2890.0,97.9,98.8
Uruguay,2008,584.0,0.161,289000000.0,71.8,0,2960.0,98.2,99.0
Uzbekistan,1990,869.0,,3650000000.0,358.0,0,,,
Uzbekistan,1991,894.0,,3780000000.0,368.0,0,,,
Uzbekistan,1992,950.0,2.01,3890000000.0,379.0,0,2720.0,,
Uzbekistan,1993,1020.0,2.14,4000000000.0,391.0,0,2710.0,,
Uzbekistan,1994,1120.0,2.11,4110000000.0,404.0,0,2700.0,,
Uzbekistan,1995,1190.0,2.02,4220000000.0,418.0,0,2660.0,,
Uzbekistan,1996,1270.0,2.04,4320000000.0,424.0,0,2590.0,,
Uzbekistan,1997,1300.0,1.96,4430000000.0,431.0,0,2540.0,,
Uzbekistan,1998,1350.0,2.09,4550000000.0,437.0,0,2500.0,,
Uzbekistan,1999,1410.0,2.07,4670000000.0,443.0,0,2430.0,,
Uzbekistan,2000,1440.0,1.97,4790000000.0,449.0,0,2370.0,98.6,99.9
Uzbekistan,2001,1530.0,1.92,4920000000.0,459.0,0,2290.0,,
Uzbekistan,2002,1590.0,1.92,5050000000.0,470.0,0,2290.0,,
Uzbekistan,2003,1700.0,1.82,5170000000.0,481.0,0,2350.0,,
Uzbekistan,2004,1730.0,1.68,5300000000.0,493.0,0,2390.0,,
Uzbekistan,2005,1760.0,1.46,5420000000.0,505.0,1500,2470.0,,
Uzbekistan,2006,1840.0,1.4,5540000000.0,517.0,0,2560.0,,
Uzbekistan,2007,1900.0,1.27,5660000000.0,530.0,0,2580.0,,
Uzbekistan,2008,1960.0,1.2,5780000000.0,544.0,0,2600.0,,
Vanuatu,1990,11.0,0.177,1700000.0,2.92,0,2570.0,,
Vanuatu,1991,11.5,0.171,1760000.0,3.0,0,2560.0,,
Vanuatu,1992,11.9,0.158,1830000.0,3.1,0,2550.0,,
Vanuatu,1993,12.5,0.156,1890000.0,3.2,0,2520.0,,
Vanuatu,1994,13.0,0.14300000000000002,1950000.0,3.29,0,2530.0,68.5,86.3
Vanuatu,1995,13.6,0.15,2020000.0,3.39,0,2540.0,,
Vanuatu,1996,14.1,0.188,2100000.0,3.47,0,2630.0,,
Vanuatu,1997,14.5,0.179,2190000.0,3.55,0,2680.0,,
Vanuatu,1998,15.0,0.16399999999999998,2270000.0,3.61,0,2720.0,,
Vanuatu,1999,15.5,0.171,2350000.0,3.69,0,2720.0,74.0,
Vanuatu,2000,16.0,0.161,2430000.0,3.77,0,2700.0,,
Vanuatu,2001,16.6,0.175,2520000.0,3.87,0,2670.0,,
Vanuatu,2002,17.4,0.17600000000000002,2610000.0,4.0,3000,2700.0,,
Vanuatu,2003,18.2,0.16899999999999998,2690000.0,4.13,0,2750.0,,
Vanuatu,2004,18.9,0.113,2750000.0,4.28,0,2750.0,78.1,92.0
Vanuatu,2005,19.7,0.107,2810000.0,4.45,0,2780.0,,
Vanuatu,2006,20.5,0.0804,2860000.0,4.62,0,2800.0,,
Vanuatu,2007,21.1,0.159,2960000.0,4.79,0,2860.0,,
Vanuatu,2008,21.8,0.14400000000000002,3050000.0,4.98,0,2860.0,,
Venezuela,1990,2370.0,0.426,3230000000.0,319.0,0,2360.0,89.8,95.4
Venezuela,1991,2520.0,0.3670000000000001,3350000000.0,320.0,0,2420.0,,
Venezuela,1992,2670.0,0.317,3460000000.0,322.0,0,2520.0,,
Venezuela,1993,2730.0,0.371,3580000000.0,325.0,0,2400.0,,
Venezuela,1994,2910.0,0.397,3710000000.0,327.0,26,2370.0,,
Venezuela,1995,2990.0,0.392,3840000000.0,330.0,0,2430.0,,
Venezuela,1996,3130.0,0.362,3970000000.0,330.0,51500,2380.0,,
Venezuela,1997,3130.0,0.371,4100000000.0,330.0,18000,2280.0,,
Venezuela,1998,3140.0,0.462,4270000000.0,330.0,0,2350.0,,
Venezuela,1999,3250.0,0.509,4440000000.0,330.0,574000,2340.0,,
Venezuela,2000,3170.0,0.4320000000000001,4590000000.0,331.0,27000,2450.0,,
Venezuela,2001,3280.0,0.473,4770000000.0,337.0,0,2510.0,93.0,97.2
Venezuela,2002,3520.0,0.581,4960000000.0,344.0,55400,2220.0,,
Venezuela,2003,3570.0,0.626,5150000000.0,352.0,651,2420.0,,
Venezuela,2004,3490.0,0.418,5300000000.0,360.0,4040,2490.0,,
Venezuela,2005,3580.0,0.412,5470000000.0,368.0,45900,2490.0,,
Venezuela,2006,3660.0,0.385,5640000000.0,384.0,135,2510.0,,
Venezuela,2007,3690.0,0.336,5800000000.0,401.0,0,2610.0,95.2,98.4
Venezuela,2008,3800.0,0.35600000000000004,5980000000.0,419.0,1510,2810.0,,
Vietnam,1990,2260.0,0.21600000000000005,732000000.0,4310.0,10300,1910.0,,
Vietnam,1991,2270.0,0.204,753000000.0,4460.0,296000,1860.0,,
Vietnam,1992,2250.0,0.188,775000000.0,4620.0,110000,1920.0,,
Vietnam,1993,2510.0,0.187,798000000.0,4780.0,15100,2030.0,,
Vietnam,1994,2740.0,0.195,824000000.0,4960.0,382000,2060.0,,
Vietnam,1995,2920.0,0.198,853000000.0,5160.0,400000,2030.0,,
Vietnam,1996,3730.0,0.21600000000000005,888000000.0,5390.0,375000,2020.0,,
Vietnam,1997,3690.0,0.259,933000000.0,5660.0,0,1990.0,,
Vietnam,1998,3780.0,0.258,980000000.0,5940.0,32600,2110.0,,
Vietnam,1999,3800.0,0.248,1030000000.0,6250.0,5780000,2200.0,90.3,93.9
Vietnam,2000,3830.0,0.261,1080000000.0,6570.0,5030000,2240.0,90.2,94.8
Vietnam,2001,3870.0,0.28,1140000000.0,6840.0,1610000,2300.0,,
Vietnam,2002,3910.0,0.305,1210000000.0,7110.0,1430000,2360.0,,
Vietnam,2003,3950.0,0.317,1290000000.0,7390.0,417000,2420.0,,
Vietnam,2004,3990.0,0.339,1380000000.0,7690.0,35100,2480.0,,
Vietnam,2005,4040.0,0.342,1480000000.0,8030.0,92600,2470.0,,
Vietnam,2006,4080.0,0.335,1580000000.0,8330.0,52300,2480.0,,
Vietnam,2007,4140.0,0.319,1690000000.0,8650.0,962000,2550.0,,
Vietnam,2008,4220.0,0.339,1810000000.0,9010.0,633000,2620.0,,
Yemen,1990,334.0,0.239,167000000.0,147.0,0,2050.0,,
Yemen,1991,345.0,0.21600000000000005,176000000.0,166.0,30000,2030.0,,
Yemen,1992,358.0,0.21600000000000005,186000000.0,187.0,0,2110.0,,
Yemen,1993,373.0,0.181,195000000.0,212.0,21500,2090.0,,
Yemen,1994,388.0,0.177,204000000.0,238.0,0,2050.0,37.1,60.2
Yemen,1995,404.0,0.193,215000000.0,266.0,0,2040.0,,
Yemen,1996,410.0,0.188,225000000.0,273.0,244000,2030.0,,
Yemen,1997,415.0,0.224,239000000.0,281.0,0,2050.0,,
Yemen,1998,418.0,0.193,251000000.0,285.0,3310,2070.0,,
Yemen,1999,423.0,0.212,265000000.0,289.0,19800,2080.0,,
Yemen,2000,427.0,0.21,279000000.0,293.0,0,2090.0,,
Yemen,2001,432.0,0.224,296000000.0,298.0,33,2070.0,,
Yemen,2002,438.0,0.21,311000000.0,302.0,753,2080.0,,
Yemen,2003,442.0,0.222,329000000.0,308.0,15,2070.0,,
Yemen,2004,447.0,0.233,348000000.0,314.0,0,2070.0,54.8,76.9
Yemen,2005,452.0,0.234,368000000.0,322.0,743,2090.0,,
Yemen,2006,456.0,0.242,389000000.0,328.0,2350,2120.0,,
Yemen,2007,461.0,0.23,410000000.0,335.0,2710,2160.0,,
Yemen,2008,467.0,0.236,432000000.0,343.0,25200,2130.0,,
Zambia,1990,1050.0,0.13,96700000.0,142.0,0,2080.0,65.0,66.4
Zambia,1991,1130.0,0.129,99200000.0,145.0,0,2010.0,,
Zambia,1992,1210.0,0.133,102000000.0,148.0,0,1980.0,,
Zambia,1993,1280.0,0.127,104000000.0,151.0,0,1980.0,,
Zambia,1994,1390.0,0.134,107000000.0,155.0,0,2020.0,,
Zambia,1995,1500.0,0.117,109000000.0,158.0,0,2050.0,,
Zambia,1996,1590.0,0.095,111000000.0,161.0,0,2030.0,,
Zambia,1997,1660.0,0.117,113000000.0,165.0,0,1970.0,,
Zambia,1998,1720.0,0.114,115000000.0,168.0,1300000,1930.0,,
Zambia,1999,1790.0,0.0848,117000000.0,172.0,0,1960.0,68.0,69.5
Zambia,2000,1820.0,0.0823,119000000.0,176.0,12000,1870.0,,
Zambia,2001,1860.0,0.0818,121000000.0,180.0,618000,1850.0,,
Zambia,2002,1870.0,0.0814,123000000.0,184.0,0,1850.0,69.2,69.1
Zambia,2003,1900.0,0.081,125000000.0,188.0,11000,1900.0,,
Zambia,2004,1860.0,0.0769,127000000.0,192.0,196000,1870.0,,
Zambia,2005,1840.0,0.0765,129000000.0,197.0,4000,1870.0,,
Zambia,2006,1840.0,0.071,132000000.0,202.0,0,1840.0,,
Zambia,2007,1840.0,0.0551,134000000.0,208.0,1550000,1780.0,61.4,64.0
Zambia,2008,1810.0,0.0576,136000000.0,215.0,15000,1800.0,,
Zimbabwe,1990,1340.0,0.59,353000000.0,570.0,0,2010.0,,
Zimbabwe,1991,1300.0,0.57,369000000.0,572.0,0,1960.0,,
Zimbabwe,1992,1320.0,0.6679999999999999,386000000.0,573.0,0,1960.0,83.5,95.4
Zimbabwe,1993,1340.0,0.636,403000000.0,574.0,0,1940.0,,
Zimbabwe,1994,1370.0,0.633,420000000.0,574.0,0,1930.0,,
Zimbabwe,1995,1440.0,0.537,436000000.0,573.0,0,1940.0,,
Zimbabwe,1996,1460.0,0.482,451000000.0,549.0,0,1980.0,,
Zimbabwe,1997,1480.0,0.451,465000000.0,525.0,0,2010.0,,
Zimbabwe,1998,1580.0,0.434,479000000.0,501.0,36,2010.0,,
Zimbabwe,1999,1680.0,0.486,495000000.0,477.0,0,2000.0,,
Zimbabwe,2000,1760.0,0.441,509000000.0,454.0,266000,1980.0,,
Zimbabwe,2001,1880.0,0.393,522000000.0,462.0,30000,2030.0,,
Zimbabwe,2002,2030.0,0.41,534000000.0,470.0,0,2020.0,,
Zimbabwe,2003,2130.0,0.44,544000000.0,476.0,18000,2010.0,,
Zimbabwe,2004,2300.0,0.416,554000000.0,482.0,0,2040.0,,
Zimbabwe,2005,2200.0,0.501,565000000.0,487.0,0,2030.0,,
Zimbabwe,2006,2170.0,0.503,575000000.0,490.0,0,2120.0,,
Zimbabwe,2007,2110.0,0.494,585000000.0,493.0,17000,2110.0,,
Zimbabwe,2008,2130.0,0.472,593000000.0,496.0,0,2090.0,,
